,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
10,mobileOG_000382128|dit|A0A0G4D759|phage|structural|pVOG|Homology,NODE_11_length_146694_cov_11.291787_126 # 113518 # 114948 # -1 # ID=11_126;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.370,91.4,903,494,0.0,477,19,494,1,476,mobileOG_000382128,dit,A0A0G4D759,phage,structural,pVOG,Homology,NODE_11_length_146694_cov_11.291787_126, 113518 # 114948 # -1 , 113518,114948,-1 ,11_126,11,126,00,ATG,None,None,0.370,NODE_11_length_146694_cov_11.291787,mobileOG_000382128_NODE_11_length_146694_cov_11.291787
11,mobileOG_000456991|NA:Keyword|A0A0G4D6H2|phage|NA|GPD|Keyword Search,NODE_11_length_146694_cov_11.291787_128 # 117813 # 119117 # -1 # ID=11_128;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406,92.9,601,880,1.84e-208,435,5,427,1,423,mobileOG_000456991,NA:Keyword,A0A0G4D6H2,phage,NA,GPD,Keyword Search,NODE_11_length_146694_cov_11.291787_128, 117813 # 119117 # -1 , 117813,119117,-1 ,11_128,11,128,00,ATG,None,None,0.406,NODE_11_length_146694_cov_11.291787,mobileOG_000456991_NODE_11_length_146694_cov_11.291787
12,mobileOG_000767387|NA:Keyword|A0A433M815|phage|NA|pVOG|Keyword Search,NODE_11_length_146694_cov_11.291787_128 # 117813 # 119117 # -1 # ID=11_128;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406,93.1,602,1307,6.18e-204,435,5,427,1,423,mobileOG_000767387,NA:Keyword,A0A433M815,phage,NA,pVOG,Keyword Search,NODE_11_length_146694_cov_11.291787_128, 117813 # 119117 # -1 , 117813,119117,-1 ,11_128,11,128,00,ATG,None,None,0.406,NODE_11_length_146694_cov_11.291787,mobileOG_000767387_NODE_11_length_146694_cov_11.291787
13,mobileOG_000774947|NA:Keyword|A0A0G4D6H2|phage|NA|pVOG|Keyword Search,NODE_11_length_146694_cov_11.291787_128 # 117813 # 119117 # -1 # ID=11_128;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406,92.9,601,1308,2.50e-203,435,5,427,1,423,mobileOG_000774947,NA:Keyword,A0A0G4D6H2,phage,NA,pVOG,Keyword Search,NODE_11_length_146694_cov_11.291787_128, 117813 # 119117 # -1 , 117813,119117,-1 ,11_128,11,128,00,ATG,None,None,0.406,NODE_11_length_146694_cov_11.291787,mobileOG_000774947_NODE_11_length_146694_cov_11.291787
14,mobileOG_000764473|NA:Keyword|A0A242Y5A5|phage|NA|pVOG|Keyword Search,NODE_11_length_146694_cov_11.291787_128 # 117813 # 119117 # -1 # ID=11_128;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406,92.7,600,1343,1.63e-202,435,5,427,1,423,mobileOG_000764473,NA:Keyword,A0A242Y5A5,phage,NA,pVOG,Keyword Search,NODE_11_length_146694_cov_11.291787_128, 117813 # 119117 # -1 , 117813,119117,-1 ,11_128,11,128,00,ATG,None,None,0.406,NODE_11_length_146694_cov_11.291787,mobileOG_000764473_NODE_11_length_146694_cov_11.291787
15,mobileOG_000760299|NA:Keyword|Q2LIH2|phage|NA|Multiple|Keyword Search,NODE_11_length_146694_cov_11.291787_128 # 117813 # 119117 # -1 # ID=11_128;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406,91.5,593,1283,9.15e-201,435,5,427,1,423,mobileOG_000760299,NA:Keyword,Q2LIH2,phage,NA,Multiple,Keyword Search,NODE_11_length_146694_cov_11.291787_128, 117813 # 119117 # -1 , 117813,119117,-1 ,11_128,11,128,00,ATG,None,None,0.406,NODE_11_length_146694_cov_11.291787,mobileOG_000760299_NODE_11_length_146694_cov_11.291787
16,mobileOG_000763659|NA:Keyword|I3WTY6|phage|NA|pVOG|Keyword Search,NODE_11_length_146694_cov_11.291787_128 # 117813 # 119117 # -1 # ID=11_128;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.406,90.3,575,1307,1.62e-193,435,5,427,1,423,mobileOG_000763659,NA:Keyword,I3WTY6,phage,NA,pVOG,Keyword Search,NODE_11_length_146694_cov_11.291787_128, 117813 # 119117 # -1 , 117813,119117,-1 ,11_128,11,128,00,ATG,None,None,0.406,NODE_11_length_146694_cov_11.291787,mobileOG_000763659_NODE_11_length_146694_cov_11.291787
17,mobileOG_000456990|NA:Keyword|A0A0G4D6E6|phage|NA|Multiple|Keyword Search,NODE_11_length_146694_cov_11.291787_131 # 119718 # 120323 # -1 # ID=11_131;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.383,91.0,356,201,6.52e-126,202,1,201,1,201,mobileOG_000456990,NA:Keyword,A0A0G4D6E6,phage,NA,Multiple,Keyword Search,NODE_11_length_146694_cov_11.291787_131, 119718 # 120323 # -1 , 119718,120323,-1 ,11_131,11,131,00,ATG,GGAG/GAGG,5-10bp,0.383,NODE_11_length_146694_cov_11.291787,mobileOG_000456990_NODE_11_length_146694_cov_11.291787
18,mobileOG_000456989|NA:Keyword|A0A2I6UF34|phage|NA|GPD|Keyword Search,NODE_11_length_146694_cov_11.291787_134 # 121107 # 121445 # -1 # ID=11_134;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.351,94.6,221,112,3.90e-75,113,1,112,1,112,mobileOG_000456989,NA:Keyword,A0A2I6UF34,phage,NA,GPD,Keyword Search,NODE_11_length_146694_cov_11.291787_134, 121107 # 121445 # -1 , 121107,121445,-1 ,11_134,11,134,00,GTG,None,None,0.351,NODE_11_length_146694_cov_11.291787,mobileOG_000456989_NODE_11_length_146694_cov_11.291787
19,mobileOG_000767385|NA:Keyword|A0A2A8VIC6|phage|NA|pVOG|Keyword Search,NODE_11_length_146694_cov_11.291787_134 # 121107 # 121445 # -1 # ID=11_134;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.351,92.5,209,107,1.25e-70,113,1,107,6,112,mobileOG_000767385,NA:Keyword,A0A2A8VIC6,phage,NA,pVOG,Keyword Search,NODE_11_length_146694_cov_11.291787_134, 121107 # 121445 # -1 , 121107,121445,-1 ,11_134,11,134,00,GTG,None,None,0.351,NODE_11_length_146694_cov_11.291787,mobileOG_000767385_NODE_11_length_146694_cov_11.291787
20,mobileOG_000456988|NA:Keyword|WP_000244586.1|phage|NA|Multiple|Keyword Search,NODE_11_length_146694_cov_11.291787_135 # 121417 # 121704 # -1 # ID=11_135;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.347,98.9,182,95,2.89e-60,96,1,94,1,94,mobileOG_000456988,NA:Keyword,WP_000244586.1,phage,NA,Multiple,Keyword Search,NODE_11_length_146694_cov_11.291787_135, 121417 # 121704 # -1 , 121417,121704,-1 ,11_135,11,135,00,TTG,AGGAG,5-10bp,0.347,NODE_11_length_146694_cov_11.291787,mobileOG_000456988_NODE_11_length_146694_cov_11.291787
21,mobileOG_000767384|NA:Keyword|A0A2A8VJX1|phage|NA|pVOG|Keyword Search,NODE_11_length_146694_cov_11.291787_135 # 121417 # 121704 # -1 # ID=11_135;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.347,96.8,179,95,2.38e-59,96,1,94,1,94,mobileOG_000767384,NA:Keyword,A0A2A8VJX1,phage,NA,pVOG,Keyword Search,NODE_11_length_146694_cov_11.291787_135, 121417 # 121704 # -1 , 121417,121704,-1 ,11_135,11,135,00,TTG,AGGAG,5-10bp,0.347,NODE_11_length_146694_cov_11.291787,mobileOG_000767384_NODE_11_length_146694_cov_11.291787
22,mobileOG_000708374|NA:Keyword|A0A3E5DLC2|phage|NA|GPD|Keyword Search,NODE_11_length_146694_cov_11.291787_135 # 121417 # 121704 # -1 # ID=11_135;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.347,92.4,167,95,2.58e-54,96,4,95,1,92,mobileOG_000708374,NA:Keyword,A0A3E5DLC2,phage,NA,GPD,Keyword Search,NODE_11_length_146694_cov_11.291787_135, 121417 # 121704 # -1 , 121417,121704,-1 ,11_135,11,135,00,TTG,AGGAG,5-10bp,0.347,NODE_11_length_146694_cov_11.291787,mobileOG_000708374_NODE_11_length_146694_cov_11.291787
23,mobileOG_000385981|clpP_3|A0A243AL10|phage|replication/recombination/repair|pVOG|Homology,NODE_11_length_146694_cov_11.291787_137 # 122898 # 123644 # -1 # ID=11_137;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.359,95.3,436,244,4.01e-156,249,9,244,1,236,mobileOG_000385981,clpP_3,A0A243AL10,phage,replication/recombination/repair,pVOG,Homology,NODE_11_length_146694_cov_11.291787_137, 122898 # 123644 # -1 , 122898,123644,-1 ,11_137,11,137,00,ATG,None,None,0.359,NODE_11_length_146694_cov_11.291787,mobileOG_000385981_NODE_11_length_146694_cov_11.291787
24,mobileOG_000100340|clpP_3|A0A0F6FT43|phage|replication/recombination/repair|GPD|Homology,NODE_11_length_146694_cov_11.291787_137 # 122898 # 123644 # -1 # ID=11_137;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.359,94.5,434,236,1.73e-155,249,1,236,1,236,mobileOG_000100340,clpP_3,A0A0F6FT43,phage,replication/recombination/repair,GPD,Homology,NODE_11_length_146694_cov_11.291787_137, 122898 # 123644 # -1 , 122898,123644,-1 ,11_137,11,137,00,ATG,None,None,0.359,NODE_11_length_146694_cov_11.291787,mobileOG_000100340_NODE_11_length_146694_cov_11.291787
25,mobileOG_000259579|clpP_3|A0A3E5DKQ8|phage|replication/recombination/repair|GPD|Homology,NODE_11_length_146694_cov_11.291787_137 # 122898 # 123644 # -1 # ID=11_137;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.359,93.6,431,244,7.74e-154,249,9,244,1,236,mobileOG_000259579,clpP_3,A0A3E5DKQ8,phage,replication/recombination/repair,GPD,Homology,NODE_11_length_146694_cov_11.291787_137, 122898 # 123644 # -1 , 122898,123644,-1 ,11_137,11,137,00,ATG,None,None,0.359,NODE_11_length_146694_cov_11.291787,mobileOG_000259579_NODE_11_length_146694_cov_11.291787
26,mobileOG_000382955|clpP_3|A0A242Y804|phage|replication/recombination/repair|pVOG|Homology,NODE_11_length_146694_cov_11.291787_137 # 122898 # 123644 # -1 # ID=11_137;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.359,91.5,420,236,1.07e-149,249,1,236,1,236,mobileOG_000382955,clpP_3,A0A242Y804,phage,replication/recombination/repair,pVOG,Homology,NODE_11_length_146694_cov_11.291787_137, 122898 # 123644 # -1 , 122898,123644,-1 ,11_137,11,137,00,ATG,None,None,0.359,NODE_11_length_146694_cov_11.291787,mobileOG_000382955_NODE_11_length_146694_cov_11.291787
27,mobileOG_000307345|clpP_3|WP_015382181.1|phage|replication/recombination/repair|Multiple|Homology,NODE_11_length_146694_cov_11.291787_137 # 122898 # 123644 # -1 # ID=11_137;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.359,90.7,416,236,2.52e-148,249,1,236,1,236,mobileOG_000307345,clpP_3,WP_015382181.1,phage,replication/recombination/repair,Multiple,Homology,NODE_11_length_146694_cov_11.291787_137, 122898 # 123644 # -1 , 122898,123644,-1 ,11_137,11,137,00,ATG,None,None,0.359,NODE_11_length_146694_cov_11.291787,mobileOG_000307345_NODE_11_length_146694_cov_11.291787
28,mobileOG_000755752|NA:Keyword|WP_015382180.1|phage|NA|Plasmid RefSeq|Keyword Search,NODE_11_length_146694_cov_11.291787_138 # 123631 # 124884 # -1 # ID=11_138;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364,93.7,786,417,1.30e-288,418,1,415,1,415,mobileOG_000755752,NA:Keyword,WP_015382180.1,phage,NA,Plasmid RefSeq,Keyword Search,NODE_11_length_146694_cov_11.291787_138, 123631 # 124884 # -1 , 123631,124884,-1 ,11_138,11,138,00,TTG,AGGAG,5-10bp,0.364,NODE_11_length_146694_cov_11.291787,mobileOG_000755752_NODE_11_length_146694_cov_11.291787
29,mobileOG_000767383|NA:Keyword|A0A2A8VJV5|phage|NA|pVOG|Keyword Search,NODE_11_length_146694_cov_11.291787_138 # 123631 # 124884 # -1 # ID=11_138;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364,93.5,783,417,1.07e-287,418,1,415,1,415,mobileOG_000767383,NA:Keyword,A0A2A8VJV5,phage,NA,pVOG,Keyword Search,NODE_11_length_146694_cov_11.291787_138, 123631 # 124884 # -1 , 123631,124884,-1 ,11_138,11,138,00,TTG,AGGAG,5-10bp,0.364,NODE_11_length_146694_cov_11.291787,mobileOG_000767383_NODE_11_length_146694_cov_11.291787
30,mobileOG_000456987|NA:Keyword|A0A0F6FVV3|phage|NA|GPD|Keyword Search,NODE_11_length_146694_cov_11.291787_138 # 123631 # 124884 # -1 # ID=11_138;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364,93.3,783,417,1.52e-287,418,1,415,1,415,mobileOG_000456987,NA:Keyword,A0A0F6FVV3,phage,NA,GPD,Keyword Search,NODE_11_length_146694_cov_11.291787_138, 123631 # 124884 # -1 , 123631,124884,-1 ,11_138,11,138,00,TTG,AGGAG,5-10bp,0.364,NODE_11_length_146694_cov_11.291787,mobileOG_000456987_NODE_11_length_146694_cov_11.291787
31,mobileOG_000764472|NA:Keyword|A0A242Y6C8|phage|NA|pVOG|Keyword Search,NODE_11_length_146694_cov_11.291787_138 # 123631 # 124884 # -1 # ID=11_138;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364,93.3,783,417,2.16e-287,418,1,415,1,415,mobileOG_000764472,NA:Keyword,A0A242Y6C8,phage,NA,pVOG,Keyword Search,NODE_11_length_146694_cov_11.291787_138, 123631 # 124884 # -1 , 123631,124884,-1 ,11_138,11,138,00,TTG,AGGAG,5-10bp,0.364,NODE_11_length_146694_cov_11.291787,mobileOG_000764472_NODE_11_length_146694_cov_11.291787
32,mobileOG_000708375|NA:Keyword|A0A3E5DL36|phage|NA|GPD|Keyword Search,NODE_11_length_146694_cov_11.291787_138 # 123631 # 124884 # -1 # ID=11_138;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364,92.8,779,420,8.07e-286,418,4,418,1,415,mobileOG_000708375,NA:Keyword,A0A3E5DL36,phage,NA,GPD,Keyword Search,NODE_11_length_146694_cov_11.291787_138, 123631 # 124884 # -1 , 123631,124884,-1 ,11_138,11,138,00,TTG,AGGAG,5-10bp,0.364,NODE_11_length_146694_cov_11.291787,mobileOG_000708375_NODE_11_length_146694_cov_11.291787
33,mobileOG_000382954|pi228|A0A242Y7I3|stability/transfer/defense|NA|pVOG|Homology,NODE_11_length_146694_cov_11.291787_142 # 127402 # 127779 # -1 # ID=11_142;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.349,96.8,256,125,1.34e-88,126,1,125,1,125,mobileOG_000382954,pi228,A0A242Y7I3,stability/transfer/defense,NA,pVOG,Homology,NODE_11_length_146694_cov_11.291787_142, 127402 # 127779 # -1 , 127402,127779,-1 ,11_142,11,142,00,ATG,GGAG/GAGG,5-10bp,0.349,NODE_11_length_146694_cov_11.291787,mobileOG_000382954_NODE_11_length_146694_cov_11.291787
34,mobileOG_000382130|pi228|A0A0G4D770|stability/transfer/defense|NA|pVOG|Homology,NODE_11_length_146694_cov_11.291787_142 # 127402 # 127779 # -1 # ID=11_142;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.349,95.2,254,125,7.77e-88,126,1,125,1,125,mobileOG_000382130,pi228,A0A0G4D770,stability/transfer/defense,NA,pVOG,Homology,NODE_11_length_146694_cov_11.291787_142, 127402 # 127779 # -1 , 127402,127779,-1 ,11_142,11,142,00,ATG,GGAG/GAGG,5-10bp,0.349,NODE_11_length_146694_cov_11.291787,mobileOG_000382130_NODE_11_length_146694_cov_11.291787
35,mobileOG_000100339|pi228|A0A2A7CDX6|stability/transfer/defense|NA|GPD|Homology,NODE_11_length_146694_cov_11.291787_142 # 127402 # 127779 # -1 # ID=11_142;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.349,92.0,245,125,1.76e-84,126,1,125,1,125,mobileOG_000100339,pi228,A0A2A7CDX6,stability/transfer/defense,NA,GPD,Homology,NODE_11_length_146694_cov_11.291787_142, 127402 # 127779 # -1 , 127402,127779,-1 ,11_142,11,142,00,ATG,GGAG/GAGG,5-10bp,0.349,NODE_11_length_146694_cov_11.291787,mobileOG_000100339_NODE_11_length_146694_cov_11.291787
36,mobileOG_000385980|pi228|A0A2A8VHU9|stability/transfer/defense|NA|pVOG|Homology,NODE_11_length_146694_cov_11.291787_142 # 127402 # 127779 # -1 # ID=11_142;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.349,96.5,239,172,3.33e-81,126,1,114,1,114,mobileOG_000385980,pi228,A0A2A8VHU9,stability/transfer/defense,NA,pVOG,Homology,NODE_11_length_146694_cov_11.291787_142, 127402 # 127779 # -1 , 127402,127779,-1 ,11_142,11,142,00,ATG,GGAG/GAGG,5-10bp,0.349,NODE_11_length_146694_cov_11.291787,mobileOG_000385980_NODE_11_length_146694_cov_11.291787
37,mobileOG_000750801|NA:Keyword|WP_053564381.1|integration/excision|NA|Plasmid RefSeq|Keyword Search,NODE_11_length_146694_cov_11.291787_151 # 132422 # 132964 # -1 # ID=11_151;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.337,95.6,338,180,2.76e-119,181,1,180,1,180,mobileOG_000750801,NA:Keyword,WP_053564381.1,integration/excision,NA,Plasmid RefSeq,Keyword Search,NODE_11_length_146694_cov_11.291787_151, 132422 # 132964 # -1 , 132422,132964,-1 ,11_151,11,151,00,ATG,GGAG/GAGG,5-10bp,0.337,NODE_11_length_146694_cov_11.291787,mobileOG_000750801_NODE_11_length_146694_cov_11.291787
38,mobileOG_000713286|NA:Keyword|G9Q7E2|integration/excision|NA|GPD|Keyword Search,NODE_11_length_146694_cov_11.291787_151 # 132422 # 132964 # -1 # ID=11_151;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.337,95.0,337,180,7.92e-119,181,1,180,1,180,mobileOG_000713286,NA:Keyword,G9Q7E2,integration/excision,NA,GPD,Keyword Search,NODE_11_length_146694_cov_11.291787_151, 132422 # 132964 # -1 , 132422,132964,-1 ,11_151,11,151,00,ATG,GGAG/GAGG,5-10bp,0.337,NODE_11_length_146694_cov_11.291787,mobileOG_000713286_NODE_11_length_146694_cov_11.291787
39,mobileOG_000767392|NA:Keyword|A0A2A8VHK6|integration/excision|NA|pVOG|Keyword Search,NODE_11_length_146694_cov_11.291787_151 # 132422 # 132964 # -1 # ID=11_151;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.337,90.0,320,180,4.04e-112,181,1,180,1,180,mobileOG_000767392,NA:Keyword,A0A2A8VHK6,integration/excision,NA,pVOG,Keyword Search,NODE_11_length_146694_cov_11.291787_151, 132422 # 132964 # -1 , 132422,132964,-1 ,11_151,11,151,00,ATG,GGAG/GAGG,5-10bp,0.337,NODE_11_length_146694_cov_11.291787,mobileOG_000767392_NODE_11_length_146694_cov_11.291787
