,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
10,mobileOG_000055126|tnpB|WP_004409766.1|integration/excision|NA|Multiple|Homology,NODE_1_length_876554_cov_55.360529_158 # 157911 # 158246 # 1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598,91.0,214,111,2.02e-72,112,1,111,1,111,mobileOG_000055126,tnpB,WP_004409766.1,integration/excision,NA,Multiple,Homology,NODE_1_length_876554_cov_55.360529_158, 157911 # 158246 # 1 , 157911,158246,1 ,1_158,1,158,00,ATG,GGA/GAG/AGG,5-10bp,0.598,NODE_1_length_876554_cov_55.360529,mobileOG_000055126_NODE_1_length_876554_cov_55.360529
11,mobileOG_000267720|tnpB|M1IMC5|integration/excision|NA|ICE|Homology,NODE_1_length_876554_cov_55.360529_158 # 157911 # 158246 # 1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598,91.0,214,121,2.80e-72,112,11,121,1,111,mobileOG_000267720,tnpB,M1IMC5,integration/excision,NA,ICE,Homology,NODE_1_length_876554_cov_55.360529_158, 157911 # 158246 # 1 , 157911,158246,1 ,1_158,1,158,00,ATG,GGA/GAG/AGG,5-10bp,0.598,NODE_1_length_876554_cov_55.360529,mobileOG_000267720_NODE_1_length_876554_cov_55.360529
12,mobileOG_000267672|tnpB|M1J943|integration/excision|NA|ICE|Homology,NODE_1_length_876554_cov_55.360529_158 # 157911 # 158246 # 1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598,91.0,213,111,2.87e-72,112,1,111,1,111,mobileOG_000267672,tnpB,M1J943,integration/excision,NA,ICE,Homology,NODE_1_length_876554_cov_55.360529_158, 157911 # 158246 # 1 , 157911,158246,1 ,1_158,1,158,00,ATG,GGA/GAG/AGG,5-10bp,0.598,NODE_1_length_876554_cov_55.360529,mobileOG_000267672_NODE_1_length_876554_cov_55.360529
13,mobileOG_000267660|tnpB|M1J5R2|integration/excision|NA|ICE|Homology,NODE_1_length_876554_cov_55.360529_158 # 157911 # 158246 # 1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598,91.0,213,121,3.97e-72,112,11,121,1,111,mobileOG_000267660,tnpB,M1J5R2,integration/excision,NA,ICE,Homology,NODE_1_length_876554_cov_55.360529_158, 157911 # 158246 # 1 , 157911,158246,1 ,1_158,1,158,00,ATG,GGA/GAG/AGG,5-10bp,0.598,NODE_1_length_876554_cov_55.360529,mobileOG_000267660_NODE_1_length_876554_cov_55.360529
14,mobileOG_000287815|tnpB|A0A514YRE5|integration/excision|NA|Plasmid RefSeq|Homology,NODE_1_length_876554_cov_55.360529_158 # 157911 # 158246 # 1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.598,90.1,213,111,4.08e-72,112,1,111,1,111,mobileOG_000287815,tnpB,A0A514YRE5,integration/excision,NA,Plasmid RefSeq,Homology,NODE_1_length_876554_cov_55.360529_158, 157911 # 158246 # 1 , 157911,158246,1 ,1_158,1,158,00,ATG,GGA/GAG/AGG,5-10bp,0.598,NODE_1_length_876554_cov_55.360529,mobileOG_000287815_NODE_1_length_876554_cov_55.360529
15,mobileOG_000335917|IS_Pl3_3|WP_009684098.1|integration/excision|NA|Plasmid RefSeq|Homology,NODE_1_length_876554_cov_55.360529_159 # 158308 # 159843 # 1 # ID=1_159;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.596,100,1019,511,0.0,512,1,511,1,511,mobileOG_000335917,IS_Pl3_3,WP_009684098.1,integration/excision,NA,Plasmid RefSeq,Homology,NODE_1_length_876554_cov_55.360529_159, 158308 # 159843 # 1 , 158308,159843,1 ,1_159,1,159,00,ATG,None,None,0.596,NODE_1_length_876554_cov_55.360529,mobileOG_000335917_NODE_1_length_876554_cov_55.360529
16,mobileOG_000770354|NA:Keyword|A0A0S2SYF1|phage|NA|pVOG|Keyword Search,NODE_1_length_876554_cov_55.360529_500 # 537154 # 538473 # -1 # ID=1_500;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.632,92.9,857,439,6.58e-316,440,1,439,1,439,mobileOG_000770354,NA:Keyword,A0A0S2SYF1,phage,NA,pVOG,Keyword Search,NODE_1_length_876554_cov_55.360529_500, 537154 # 538473 # -1 , 537154,538473,-1 ,1_500,1,500,00,ATG,GGAG/GAGG,5-10bp,0.632,NODE_1_length_876554_cov_55.360529,mobileOG_000770354_NODE_1_length_876554_cov_55.360529
17,mobileOG_000759451|NA:Keyword|Q1I692|phage|NA|ACLAME|Keyword Search,NODE_1_length_876554_cov_55.360529_727 # 743366 # 743875 # -1 # ID=1_727;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.622,91.7,307,169,1.90e-107,170,1,169,1,169,mobileOG_000759451,NA:Keyword,Q1I692,phage,NA,ACLAME,Keyword Search,NODE_1_length_876554_cov_55.360529_727, 743366 # 743875 # -1 , 743366,743875,-1 ,1_727,1,727,00,ATG,AGGAG,5-10bp,0.622,NODE_1_length_876554_cov_55.360529,mobileOG_000759451_NODE_1_length_876554_cov_55.360529
18,mobileOG_000331282|radA|WP_002555235.1|replication/recombination/repair|competence|Plasmid RefSeq|Homology,NODE_2_length_428724_cov_76.445068_28 # 34285 # 35652 # 1 # ID=2_28;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.635,93.4,834,455,2.25e-306,456,1,455,1,455,mobileOG_000331282,radA,WP_002555235.1,replication/recombination/repair,competence,Plasmid RefSeq,Homology,NODE_2_length_428724_cov_76.445068_28, 34285 # 35652 # 1 , 34285,35652,1 ,2_28,2,28,00,ATG,AGGAG,5-10bp,0.635,NODE_2_length_428724_cov_76.445068,mobileOG_000331282_NODE_2_length_428724_cov_76.445068
19,mobileOG_000025557|radA|A0A072ZDV4|replication/recombination/repair|NA|Plasmid RefSeq|Manual,NODE_2_length_428724_cov_76.445068_28 # 34285 # 35652 # 1 # ID=2_28;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.635,90.8,804,453,1.60e-294,456,1,453,1,455,mobileOG_000025557,radA,A0A072ZDV4,replication/recombination/repair,NA,Plasmid RefSeq,Manual,NODE_2_length_428724_cov_76.445068_28, 34285 # 35652 # 1 , 34285,35652,1 ,2_28,2,28,00,ATG,AGGAG,5-10bp,0.635,NODE_2_length_428724_cov_76.445068,mobileOG_000025557_NODE_2_length_428724_cov_76.445068
20,mobileOG_000288863|diaA|A0A069PYS0|replication/recombination/repair|NA|Plasmid RefSeq|Homology,NODE_2_length_428724_cov_76.445068_155 # 163540 # 164133 # -1 # ID=2_155;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.604,91.4,354,197,3.96e-125,198,1,197,1,197,mobileOG_000288863,diaA,A0A069PYS0,replication/recombination/repair,NA,Plasmid RefSeq,Homology,NODE_2_length_428724_cov_76.445068_155, 163540 # 164133 # -1 , 163540,164133,-1 ,2_155,2,155,00,ATG,GGA/GAG/AGG,5-10bp,0.604,NODE_2_length_428724_cov_76.445068,mobileOG_000288863_NODE_2_length_428724_cov_76.445068
21,mobileOG_000288862|groS|A0A071KZF6|phage|structural|Plasmid RefSeq|Homology,NODE_2_length_428724_cov_76.445068_191 # 204108 # 204401 # 1 # ID=2_191;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.582,91.7,174,97,5.34e-57,98,1,96,1,96,mobileOG_000288862,groS,A0A071KZF6,phage,structural,Plasmid RefSeq,Homology,NODE_2_length_428724_cov_76.445068_191, 204108 # 204401 # 1 , 204108,204401,1 ,2_191,2,191,00,ATG,GGAG/GAGG,5-10bp,0.582,NODE_2_length_428724_cov_76.445068,mobileOG_000288862_NODE_2_length_428724_cov_76.445068
22,"mobileOG_000024607|groL|A0A072ZED9|phage|replication,chaperone|Plasmid RefSeq|Manual",NODE_2_length_428724_cov_76.445068_192 # 204450 # 206090 # 1 # ID=2_192;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.607,92.0,908,547,0.0,547,1,536,1,535,mobileOG_000024607,groL,A0A072ZED9,phage,"replication,chaperone",Plasmid RefSeq,Manual,NODE_2_length_428724_cov_76.445068_192, 204450 # 206090 # 1 , 204450,206090,1 ,2_192,2,192,00,ATG,AGGA,5-10bp,0.607,NODE_2_length_428724_cov_76.445068,mobileOG_000024607_NODE_2_length_428724_cov_76.445068
23,mobileOG_000735116|NA:Keyword|A0A2L2KVQ8|integration/excision|NA|Plasmid RefSeq|Keyword Search,NODE_3_length_392981_cov_97.417507_121 # 131345 # 131983 # 1 # ID=3_121;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.557,94.3,417,212,1.75e-149,213,1,212,1,212,mobileOG_000735116,NA:Keyword,A0A2L2KVQ8,integration/excision,NA,Plasmid RefSeq,Keyword Search,NODE_3_length_392981_cov_97.417507_121, 131345 # 131983 # 1 , 131345,131983,1 ,3_121,3,121,00,ATG,GGAGG,5-10bp,0.557,NODE_3_length_392981_cov_97.417507,mobileOG_000735116_NODE_3_length_392981_cov_97.417507
24,mobileOG_000746451|NA:Keyword|WP_104963026.1|integration/excision|NA|Multiple|Keyword Search,NODE_3_length_392981_cov_97.417507_121 # 131345 # 131983 # 1 # ID=3_121;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.557,97.9,390,198,3.52e-139,213,5,198,19,212,mobileOG_000746451,NA:Keyword,WP_104963026.1,integration/excision,NA,Multiple,Keyword Search,NODE_3_length_392981_cov_97.417507_121, 131345 # 131983 # 1 , 131345,131983,1 ,3_121,3,121,00,ATG,GGAGG,5-10bp,0.557,NODE_3_length_392981_cov_97.417507,mobileOG_000746451_NODE_3_length_392981_cov_97.417507
25,mobileOG_000735214|NA:Keyword|A0A2L2KVR2|integration/excision|NA|Plasmid RefSeq|Keyword Search,NODE_3_length_392981_cov_97.417507_122 # 131964 # 133922 # 1 # ID=3_122;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.535,98.2,1273,652,0.0,653,1,652,1,652,mobileOG_000735214,NA:Keyword,A0A2L2KVR2,integration/excision,NA,Plasmid RefSeq,Keyword Search,NODE_3_length_392981_cov_97.417507_122, 131964 # 133922 # 1 , 131964,133922,1 ,3_122,3,122,00,ATG,AGxAGG/AGGxGG,5-10bp,0.535,NODE_3_length_392981_cov_97.417507,mobileOG_000735214_NODE_3_length_392981_cov_97.417507
26,"mobileOG_000352280|copR|WP_100852534.1|transfer|conjugation,relaxosome|Multiple|Homology",NODE_3_length_392981_cov_97.417507_134 # 143183 # 143860 # 1 # ID=3_134;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.562,92.9,412,225,2.25e-147,226,1,225,1,225,mobileOG_000352280,copR,WP_100852534.1,transfer,"conjugation,relaxosome",Multiple,Homology,NODE_3_length_392981_cov_97.417507_134, 143183 # 143860 # 1 , 143183,143860,1 ,3_134,3,134,00,ATG,AGxAGG/AGGxGG,5-10bp,0.562,NODE_3_length_392981_cov_97.417507,mobileOG_000352280_NODE_3_length_392981_cov_97.417507
27,"mobileOG_000352271|copR|WP_094010859.1|transfer|conjugation,relaxosome|Multiple|Homology",NODE_3_length_392981_cov_97.417507_158 # 168691 # 169365 # 1 # ID=3_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548,99.1,441,224,1.55e-158,225,1,224,1,224,mobileOG_000352271,copR,WP_094010859.1,transfer,"conjugation,relaxosome",Multiple,Homology,NODE_3_length_392981_cov_97.417507_158, 168691 # 169365 # 1 , 168691,169365,1 ,3_158,3,158,00,ATG,GGA/GAG/AGG,5-10bp,0.548,NODE_3_length_392981_cov_97.417507,mobileOG_000352271_NODE_3_length_392981_cov_97.417507
28,"mobileOG_000352222|copR|WP_016487025.1|transfer|conjugation,relaxosome|Plasmid RefSeq|Homology",NODE_3_length_392981_cov_97.417507_158 # 168691 # 169365 # 1 # ID=3_158;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.548,99.1,441,224,1.55e-158,225,1,224,1,224,mobileOG_000352222,copR,WP_016487025.1,transfer,"conjugation,relaxosome",Plasmid RefSeq,Homology,NODE_3_length_392981_cov_97.417507_158, 168691 # 169365 # 1 , 168691,169365,1 ,3_158,3,158,00,ATG,GGA/GAG/AGG,5-10bp,0.548,NODE_3_length_392981_cov_97.417507,mobileOG_000352222_NODE_3_length_392981_cov_97.417507
29,"mobileOG_000352185|copR|GAI15907.1|transfer|conjugation,relaxosome|Plasmid RefSeq|Homology",NODE_3_length_392981_cov_97.417507_175 # 190024 # 190698 # 1 # ID=3_175;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.517,100,447,224,5.64e-161,225,1,224,1,224,mobileOG_000352185,copR,GAI15907.1,transfer,"conjugation,relaxosome",Plasmid RefSeq,Homology,NODE_3_length_392981_cov_97.417507_175, 190024 # 190698 # 1 , 190024,190698,1 ,3_175,3,175,00,ATG,GGA/GAG/AGG,5-10bp,0.517,NODE_3_length_392981_cov_97.417507,mobileOG_000352185_NODE_3_length_392981_cov_97.417507
30,"mobileOG_000352216|copR|WP_013974882.1|transfer|conjugation,relaxosome|Multiple|Homology",NODE_3_length_392981_cov_97.417507_175 # 190024 # 190698 # 1 # ID=3_175;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.517,99.1,445,224,3.26e-160,225,1,224,1,224,mobileOG_000352216,copR,WP_013974882.1,transfer,"conjugation,relaxosome",Multiple,Homology,NODE_3_length_392981_cov_97.417507_175, 190024 # 190698 # 1 , 190024,190698,1 ,3_175,3,175,00,ATG,GGA/GAG/AGG,5-10bp,0.517,NODE_3_length_392981_cov_97.417507,mobileOG_000352216_NODE_3_length_392981_cov_97.417507
31,mobileOG_000033330|trbD|S6JIH8|transfer|conjugation|Multiple|Homology,NODE_3_length_392981_cov_97.417507_232 # 245257 # 245568 # 1 # ID=3_232;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.615,90.3,188,103,1.87e-62,104,1,103,1,103,mobileOG_000033330,trbD,S6JIH8,transfer,conjugation,Multiple,Homology,NODE_3_length_392981_cov_97.417507_232, 245257 # 245568 # 1 , 245257,245568,1 ,3_232,3,232,00,ATG,GGA/GAG/AGG,5-10bp,0.615,NODE_3_length_392981_cov_97.417507,mobileOG_000033330_NODE_3_length_392981_cov_97.417507
32,"mobileOG_000352280|copR|WP_100852534.1|transfer|conjugation,relaxosome|Multiple|Homology",NODE_5_length_352319_cov_85.015384_252 # 271809 # 272486 # -1 # ID=5_252;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.555,92.0,406,225,8.79e-145,226,1,225,1,225,mobileOG_000352280,copR,WP_100852534.1,transfer,"conjugation,relaxosome",Multiple,Homology,NODE_5_length_352319_cov_85.015384_252, 271809 # 272486 # -1 , 271809,272486,-1 ,5_252,5,252,00,ATG,GGA/GAG/AGG,3-4bp,0.555,NODE_5_length_352319_cov_85.015384,mobileOG_000352280_NODE_5_length_352319_cov_85.015384
33,"mobileOG_000352187|copR|WP_004577572.1|transfer|conjugation,relaxosome|Plasmid RefSeq|Homology",NODE_5_length_352319_cov_85.015384_252 # 271809 # 272486 # -1 # ID=5_252;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.555,91.1,403,225,1.46e-143,226,1,225,1,225,mobileOG_000352187,copR,WP_004577572.1,transfer,"conjugation,relaxosome",Plasmid RefSeq,Homology,NODE_5_length_352319_cov_85.015384_252, 271809 # 272486 # -1 , 271809,272486,-1 ,5_252,5,252,00,ATG,GGA/GAG/AGG,3-4bp,0.555,NODE_5_length_352319_cov_85.015384,mobileOG_000352187_NODE_5_length_352319_cov_85.015384
34,mobileOG_000301388|hsdM_2|A0A514YRA9|stability/transfer/defense|NA|Plasmid RefSeq|Homology,NODE_5_length_352319_cov_85.015384_316 # 342011 # 343744 # 1 # ID=5_316;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.615,90.1,1029,577,0.0,578,1,577,1,577,mobileOG_000301388,hsdM_2,A0A514YRA9,stability/transfer/defense,NA,Plasmid RefSeq,Homology,NODE_5_length_352319_cov_85.015384_316, 342011 # 343744 # 1 , 342011,343744,1 ,5_316,5,316,00,ATG,GGA/GAG/AGG,5-10bp,0.615,NODE_5_length_352319_cov_85.015384,mobileOG_000301388_NODE_5_length_352319_cov_85.015384
35,mobileOG_000742709|NA:Keyword|WP_086799821.1|stability/transfer/defense|NA|Multiple|Keyword Search,NODE_5_length_352319_cov_85.015384_319 # 346185 # 349307 # 1 # ID=5_319;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.587,95.3,1945,1040,0.0,1041,1,1040,1,1040,mobileOG_000742709,NA:Keyword,WP_086799821.1,stability/transfer/defense,NA,Multiple,Keyword Search,NODE_5_length_352319_cov_85.015384_319, 346185 # 349307 # 1 , 346185,349307,1 ,5_319,5,319,00,ATG,AGGA/GGAG/GAGG,11-12bp,0.587,NODE_5_length_352319_cov_85.015384,mobileOG_000742709_NODE_5_length_352319_cov_85.015384
36,mobileOG_000749671|NA:Keyword|WP_120266768.1|stability/transfer/defense|NA|Plasmid RefSeq|Keyword Search,NODE_5_length_352319_cov_85.015384_319 # 346185 # 349307 # 1 # ID=5_319;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.587,95.2,1945,1040,0.0,1041,1,1040,1,1040,mobileOG_000749671,NA:Keyword,WP_120266768.1,stability/transfer/defense,NA,Plasmid RefSeq,Keyword Search,NODE_5_length_352319_cov_85.015384_319, 346185 # 349307 # 1 , 346185,349307,1 ,5_319,5,319,00,ATG,AGGA/GGAG/GAGG,11-12bp,0.587,NODE_5_length_352319_cov_85.015384,mobileOG_000749671_NODE_5_length_352319_cov_85.015384
37,mobileOG_000738589|NA:Keyword|A0A514YRB7|stability/transfer/defense|NA|Plasmid RefSeq|Keyword Search,NODE_5_length_352319_cov_85.015384_319 # 346185 # 349307 # 1 # ID=5_319;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.587,94.6,1936,1040,0.0,1041,1,1040,1,1040,mobileOG_000738589,NA:Keyword,A0A514YRB7,stability/transfer/defense,NA,Plasmid RefSeq,Keyword Search,NODE_5_length_352319_cov_85.015384_319, 346185 # 349307 # 1 , 346185,349307,1 ,5_319,5,319,00,ATG,AGGA/GGAG/GAGG,11-12bp,0.587,NODE_5_length_352319_cov_85.015384,mobileOG_000738589_NODE_5_length_352319_cov_85.015384
